"filename","failed_anlysis","CHATTY_SERVICE","CYCLIC_DEPENDENCY","DATA_SERVICE","DEAD_COMPONENT","DENSE_STRUCTURE","MESSAGE_CHAIN","SHARED_PERSISTENCY","STRICT_LAYER_VIOLATION","DUPLICATION","HUB_LIKE_MODULARIZATION","WEAKEND_MODULARITY","DOCUMENTATION","LAZY_COMPONENT","CHATTY_SERVICE_ns","CYCLIC_DEPENDENCY_ns","DATA_SERVICE_ns","DEAD_COMPONENT_ns","DENSE_STRUCTURE_ns","MESSAGE_CHAIN_ns","SHARED_PERSISTENCY_ns","STRICT_LAYER_VIOLATION_ns","DUPLICATION_ns","HUB_LIKE_MODULARIZATION_ns","WEAKEND_MODULARITY_ns","DOCUMENTATION_ns","LAZY_COMPONENT_ns","nodes","edges","file_size_bytes"
"arquitectura.xml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","21200","214700","13100","115800","108700","10400","4600","3500","56200","171000","172300","8400","10000","50","72","43691"
"ArquitecturaAU.xml","0","0","0","0","1","0","0","0","0","1","0","0","0","1","9200","76600","10000","135400","123500","5800","4500","3200","98500","138300","148900","7900","11100","51","44","63579"
"ArquiteturaModular.xml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5500","5200","8600","13200","10000","4400","3800","2900","3300","8600","8900","3600","4400","7","5","10901"
"Assignment06.xml","0","0","0","0","1","0","0","0","0","0","0","0","0","0","9400","12600","9900","32200","26300","8900","4100","7000","8800","28700","29400","5700","6600","19","15","13738"
"Association Table Mapping.xml","0","0","1","0","1","1","0","0","0","1","0","1","0","0","6900","366900","12600","222100","261600","7700","4500","2900","372400","315600","360600","9900","12600","65","103","66302"
"Auditoria.xml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","8500","5600","8900","21300","14800","7500","3300","3100","7900","14200","14200","4000","5100","11","5","10062"
"BA.xml","0","0","0","0","1","0","0","0","0","0","0","0","1","0","6000","4800","8200","34200","25700","6300","3700","4000","10500","24200","24200","7500","6400","23","3","15880"
"Big Brother.xml","0","0","1","0","1","0","0","0","0","1","0","0","0","0","12300","80100","11700","73500","64300","10100","5000","17600","24500","82900","88400","6700","8600","33","41","33542"
"BPM Landscape Type 1.xml","0","1","0","0","0","0","0","0","0","0","0","0","0","0","55300","10300","11200","16600","13600","40400","4400","11000","6200","13200","13300","3900","4600","9","15","18348"
"Business-Functions.xml","0","0","1","0","0","0","0","0","0","1","0","0","0","0","49100","83400","16800","133200","139300","46700","5900","6200","241200","180000","193600","8600","162600","56","94","65618"
