"filename","failed_anlysis","CHATTY_SERVICE","CHATTY_SERVICE_imp","CYCLIC_DEPENDENCY","CYCLIC_DEPENDENCY_imp","DATA_SERVICE","DATA_SERVICE_imp","DEAD_COMPONENT","DENSE_STRUCTURE","MESSAGE_CHAIN","MESSAGE_CHAIN_imp","SHARED_PERSISTENCY","STRICT_LAYER_VIOLATION","DUPLICATION","HUB_LIKE_MODULARIZATION","WEAKEND_MODULARITY","DOCUMENTATION","LAZY_COMPONENT","CHATTY_SERVICE_ns","CHATTY_SERVICE_imp_ns","CYCLIC_DEPENDENCY_ns","CYCLIC_DEPENDENCY_imp_ns","DATA_SERVICE_ns","DATA_SERVICE_imp_ns","DEAD_COMPONENT_ns","DENSE_STRUCTURE_ns","MESSAGE_CHAIN_ns","MESSAGE_CHAIN_imp_ns","SHARED_PERSISTENCY_ns","STRICT_LAYER_VIOLATION_ns","DUPLICATION_ns","HUB_LIKE_MODULARIZATION_ns","WEAKEND_MODULARITY_ns","DOCUMENTATION_ns","LAZY_COMPONENT_ns","nodes","edges","file_size_bytes"
"6 Memento v1_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","8758100","898300","8565600","8647400","8612200","815200","8669300","8776700","8789600","906000","8713800","8640400","16847500","194649400","194746400","8697200","8681400","14","23","49754"
"6 Planning_transformed.graphml","0","0","0","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","8986300","959200","8908200","9008700","9059700","1032200","9263900","8922800","8861900","965800","8709700","8847400","72520800","9198000","8999000","8913000","8996900","185","39","315934"
"6 standalone classes_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9086300","885200","8548000","8686500","8686100","917100","8589200","8746300","8648700","844200","8573000","8612100","16576500","8774800","8679100","8609300","8644200","0","0","1329"
"7 anticorruption layer_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","8772500","875400","8741900","8874800","8756800","825800","8568900","8700000","8647200","894900","8593100","8861800","17200200","179312800","179599100","8686700","8596600","18","38","73762"
"7 closure of operations_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","8739000","862600","8658700","8652200","8601600","827500","8578200","8715300","8795600","888100","8663400","8658600","16779400","70745500","71089000","8771100","8712600","5","6","16361"
"7 modules_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8758600","925100","8667100","8690700","8600800","838800","8566900","8610200","8670200","928000","8655200","8640900","16480400","8675100","8674300","8750500","8675200","0","0","1329"
"7 Observer v1_transformed.graphml","0","0","0","0","1","0","0","1","1","0","0","0","0","1","1","1","0","0","8978000","961400","8700000","8813800","8687600","823700","8689900","8809800","8772100","916700","8704700","8694700","17560700","256679000","257134400","8726300","8657300","24","36","80003"
"7 Proxy v1_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","0","0","8767100","854400","8728200","9080200","8653800","773900","8712400","8693600","8719400","881900","8569500","8576200","16892600","210275400","210431000","8690900","8604800","18","36","71867"
"7 segregated core_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","1","0","0","8734300","831300","9297800","8755700","8591500","815800","8630400","8693700","8659900","944400","8745700","8602500","17121700","179090000","179368500","8692100","8587100","17","38","72437"
"7 Trading_transformed.graphml","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","1","1","0","8774900","811100","8889100","8908800","8817300","845000","8881500","8956400","8697100","853800","8638300","8650500","22630100","210504500","211064600","8963000","8736300","114","54","235758"
"8 abstract core_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","1","0","0","8726800","883000","8705400","8798600","8605900","786400","8553200","8775500","8613600","904400","8559200","8718600","17122400","179397800","195372100","8721600","8603200","23","54","100686"
"8 aggregates_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","0","1","0","1","0","0","8873500","865200","9521800","9911000","8771500","827000","8704500","8732300","8715900","846700","8585900","8616900","1907516600","331694700","384274600","8768900","8755100","171","210","504475"
"8 CQRS An Architecture of a Bounded Context_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","8935100","989000","8742300","8888500","8786800","1048400","8821100","8985000","8802000","975300","8927600","8866700","16794700","8780800","8677800","8638700","8637600","2","0","4443"
"8 Derivative Contracts_transformed.graphml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8 separate ways_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","0","1","0","0","0","0","8845500","901700","8825000","8850700","8590400","792700","8536900","8611500","8556000","896800","8705000","8679100","16914100","148793500","152344700","8785500","8570500","17","33","66045"
"8 State v1_transformed.graphml","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","1","0","0","16176900","970300","8848600","9177500","8777700","917600","8511700","8637300","8620200","837600","8635500","8817800","17087600","303217700","304990800","8798100","8632700","24","46","92561"
"9 factories_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","0","1","0","1","0","0","8866200","878900","8686500","8878000","8692500","816700","9008700","8931700","8670700","897200","8605900","8575400","17807700","217831600","240685900","8634500","8584700","28","27","74993"
"9 open host service_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","0","0","8744300","859800","8686400","8973400","8658000","794300","8522100","8711400","8622100","848900","8575100","8599500","17630200","227677400","226018700","8722600","8625600","23","52","97986"
"9 Strategy v1_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","8878800","863800","8540700","8640700","8585700","773100","8715000","8785100","9979600","981200","8791700","8839000","17079400","206724800","210294100","8750700","8783400","15","19","47090"
"9 Trading Packages_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","0","1","1","1","1","0","8869100","906600","8960200","9135700","8799500","1074400","9173900","8735600","9985600","821600","8670600","8779800","19745200","203584400","211328000","8770700","8633700","99","102","269714"
"Active Record_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8695100","811900","8463800","8530000","8497800","828300","8521000","8631700","8663400","955000","8572500","8562700","16568100","8850600","8812700","8763000","8790300","0","0","1329"
